"Timestamp","Gender","Name of Institution/ University","Level of education","Field of study:","Do you have any knowledge on programming?","Field of interest in programming:","Your level of understading in this field/ fields","Where did/do you properly study programming?","Is Programming difficult?","If YES, WHY (according to Tertiary)","What do you think is the reason for poor performance in programming. (Acadamically)? ","Do you agree that students studying programming in private institutions do well than universities. ","Reasons if any:","How would you want programming to be taught in Tertiary institutions (Public/ Private)","Any other suggestion to add to the survey?"
"2019/12/25 8:37:15 am GMT","Male","UCC","200","Information Technology","Yes","Web development   (considered)","Intermediate","Youtube;E-Learning sites (udemy, sololearn etc)","No","Lecturers don't make programming interesting enough;Lack of detailed / step by step understanding of Programming languages","The Lecturers don't get us involved, they always give us past questions which had already been solved by others, with this, students are tempted to copy instead of thinking.","Strongly agree","They are equipped practically","How would we want programming to be taught in our public universities?",""
"2019/12/25 9:34:27 pm GMT","Male","University of Ghana, legon","300","Information Technology","Yes","Web development   (considered);Networking;Cyber security;Artificial Intelligence","Intermediate","University/Tertiary;Youtube","No","Too much theory","Practical learning and teaching","Neutral","Available materials and tools for learning provided adequately","No",""
"2019/12/26 8:27:27 pm GMT","Male","University of Cape Coast","200","Computer Science","Yes","Web development   (considered);Networking;Cyber security;Artificial Intelligence","Beginner","Youtube","Yes","Too much theory;Lecturers don't make programming interesting enough;Lack of detailed / step by step understanding of Programming languages","Too much theory than practicals","Strongly agree","","It should be made purely practicals ",""
"2019/12/26 8:32:16 pm GMT","Male","University of Cape Coast","400","Computer Science","Yes","Web development   (considered);Data analysis/ administration;Artificial Intelligence","Beginner","University/Tertiary;Youtube","Yes","Too much theory","Theory","Neutral","","Practically",""
"2019/12/26 8:36:00 pm GMT","Male","Takoradi Technical University ","100","Information Technology","Yes","Web development   (considered);Application development;Data analysis/ administration;Networking;System Software development;Cyber security","Beginner","University/Tertiary;Youtube;E-Learning sites (udemy, sololearn etc)","Yes","Lecturers don't make programming interesting enough","Not making enough effort ","Disagree","Just believe in hardwork and practice makes man perfect","Yes",""
"2019/12/26 8:36:54 pm GMT","Female","Delta State University","200","Computer Science","Yes","System Software development","Beginner","University/Tertiary","No","","Different techniques to master","Neutral","","With practice",""
"2019/12/26 8:44:18 pm GMT","Male","University of Cape Coast ","200","Information Technology","Yes","Web development   (considered)","Beginner","Youtube","Yes","Little practicals","Less practical ","Neutral","They do enough practicals and they have specified field too","More practical and specialized too","No"
"2019/12/26 8:44:26 pm GMT","Male","University of Cape Coast ","200","Information Technology","Yes","Web development   (considered)","Beginner","Youtube","Yes","Little practicals","Less practical ","Neutral","They do enough practicals and they have specified field too","More practical and specialized too","No"
"2019/12/26 8:47:47 pm GMT","Male","University of cape coast","100","Computer Science","Yes","Web development   (considered)","Beginner","Youtube;Books","No","","They don't love what they are doing. They first think of money","Disagree","it depends on the person mindset","students should be always given projects. otherwise they will never do things on their own",""
"2019/12/26 8:52:03 pm GMT","","UCC","100","Computer Science","Yes","Web development   (considered);Application development;Artificial Intelligence;Game development","Beginner","E-Learning sites (udemy, sololearn etc)","Yes","Little practicals","Students do not have knowledge about the programming languages","Neutral","We study some courses which aren't needed","We should be thought the easiest programming language first ",""
"2019/12/26 8:53:44 pm GMT","Male","UCC","400","Computer Science","Yes","Web development   (considered);Data analysis/ administration;Artificial Intelligence","Intermediate","University/Tertiary;Youtube;E-Learning sites (udemy, sololearn etc);Reading related articles as well","No","","The absence of practical application in real life","Disagree","I disagree because I don't think the problem is with the university but rather with whoever is teaching it.","Practically. Real life applications.","I hope my info helps you."
"2019/12/26 8:57:51 pm GMT","Male","UCC","200","Computer Science","Yes","Web development   (considered);Application development;Networking;System Software development;Artificial Intelligence;Game development","Intermediate","University/Tertiary;Youtube","No","","People just don't want to learn. ","Neutral","","It should more of practical than theory. ","No"
"2019/12/26 9:18:38 pm GMT","Male","University of Ghana ","100","Computer Science","Yes","System Software development","","University/Tertiary;Youtube;E-Learning sites (udemy, sololearn etc)","No","Little practicals","Less practical","Disagree","","More practical",""
"2019/12/26 9:21:53 pm GMT","Female","University of Cape Coast","200","Information Technology","Yes","Web development   (considered)","Intermediate","University/Tertiary;Youtube","Yes","Lecturers don't make programming interesting enough","Time consuming","Disagree","We have the chances of learning","More practical  than theory","Not yet"
"2019/12/26 9:23:16 pm GMT","Male","University of Ghana","100","Computer Science","Yes","Web development   (considered)","Beginner","University/Tertiary","Yes","Lack of detailed / step by step understanding of Programming languages","Lack of detailed lecturing","Strongly agree","Detailed studying","Detailed lectures",""
"2019/12/26 9:23:39 pm GMT","Male","University of ghana","100","Computer Science","Yes","Web development   (considered);Application development;Data analysis/ administration;System Software development;Cyber security;Game development","Beginner","University/Tertiary","Yes","Too much theory;Little practicals;Lack of detailed / step by step understanding of Programming languages","Too much theory ","Strongly agree","I think they do enough practicals  than we do ","I think there must be enough lecture sessions for practicals and also teach step by step procedure ",""
"2019/12/26 9:24:21 pm GMT","Male","University of Ghana ","100","Computer Science","Yes","Web development   (considered);Data analysis/ administration;Networking;System Software development;Cyber security","Beginner","University/Tertiary","Yes","Too much theory;Little practicals;Intermidiate knowledge portrayed by lecturers;Lack of detailed / step by step understanding of Programming languages","it entails a lot","Neutral","","improvement in practicals",""
"2019/12/26 9:25:56 pm GMT","Male","Univerdity of Ghana","100","Computer Science","Yes","Web development   (considered);System Software development;Cyber security","Beginner","University/Tertiary;Youtube;E-Learning sites (udemy, sololearn etc)","Yes","Lecturers don't make programming interesting enough","Less practice","Disagree","","Pure practical",""
"2019/12/26 9:33:26 pm GMT","Male","University of Cape coast","300","Information Technology","Yes","Web development   (considered);Application development;Data analysis/ administration;Networking;System Software development","Intermediate","University/Tertiary;Youtube;E-Learning sites (udemy, sololearn etc)","Yes","Too much theory;Little practicals;Lecturers don't make programming interesting enough;Lack of detailed / step by step understanding of Programming languages","Little practicals and also when you  don't master in one language, and always want to learn different language when hear about them. ","Neutral","","Both Theory and practical especially more practical and project on each language taught.",""
"2019/12/26 9:42:46 pm GMT","","","","","","","","","","","","","","",""
"2019/12/26 10:13:43 pm GMT","Male","University of Ghana","100","Information Technology","Yes","Web development   (considered);Application development;Data analysis/ administration;Networking","Beginner","E-Learning sites (udemy, sololearn etc)","No","","lack of pratical approach in tutoring","Strongly agree","Because they learn more of programming than the other stuffs","Fully practical ","Programming is not a day's work so one have to develop interest in order to become a good programmer."
"2019/12/26 10:23:54 pm GMT","Male","University of cape coast","300","Information Technology","Yes","Web development   (considered);Application development","Beginner","University/Tertiary;Youtube;E-Learning sites (udemy, sololearn etc)","Yes","Intermidiate knowledge portrayed by lecturers;Lecturers don't make programming interesting enough","How the lecturers handle the course","Strongly agree","","It should be thought practically not theoretical ",""
"2019/12/26 10:46:57 pm GMT","Male","University of Ghana","100","Computer Science","Yes","Application development;System Software development;Cyber security;Artificial Intelligence;Game development","Beginner","University/Tertiary","Yes","Too much theory;Little practicals;Lecturers don't make programming interesting enough;Lack of detailed / step by step understanding of Programming languages","Bad teaching and practice","Strongly agree","","More and more practice",""
"2019/12/26 10:51:05 pm GMT","Female","Ghana institute of journalism","200","Information Technology","","Data analysis/ administration","Intermediate","University/Tertiary","Yes","Lecturers don't make programming interesting enough","Too much theory","Neutral","","Because we're in a modern world and one needs to know a something about programming ",""
